"后台配置的语言包","后台配置的语言包"
"Oceanpayment CreditCard Payment","Oceanpayment CreditCard Payment"
"Enabled","Enabled"
"Title","Title"
"Pay mode","Pay mode"
"Account","Account"
"Terminal","Terminal"
"SecureCode","SecureCode"
"Transport URL","Transport URL"
"New order status","New order status"
"Order status when payment success by CreditCard","Order status when payment success by CreditCard"
"Order status when payment failure by CreditCard","Order status when payment failure by CreditCard"
"Order status when payment pending by CreditCard","Order status when payment pending by CreditCard"
"Iframe Height(px)","Iframe Height(px)"
"Send Order Email","Send Order Email"
"Automatic Invoice","Automatic Invoice"
"3D Secure mode","3D Secure mode"
"3D Secure Terminal","3D Secure Terminal"
"3D Secure SecureCode","3D Secure SecureCode"
"3D Secure Currency","3D Secure Currency"
"3D Secure Amount","3D Secure Amount"
"3D Secure Countries","3D Secure Countries"
"Payment from applicable countries","Payment from applicable countries"
"Payment from Specific countries","Payment from Specific countries"
"Sort order","Sort order"



"选择支付方式的语言包","选择支付方式的语言包"
"Click here, oceanpayment offer secure and fast bank card online processing service.","Click here, oceanpayment offer secure and fast bank card online processing service."



"失败页面的语言包","失败页面的语言包"
"Oops! We're sorry","Oops! We're sorry"
"Error Messages: ","Error Messages: "
"Your Order No. is ","Your Order No. is "
"Please <a href='%s'>continue shopping</a>.","Please <a href='%s'>continue shopping</a>."




"成功页面的语言包","成功页面的语言包"
"Your payment is succeed!Your order has been received","Your payment is succeed!Your order has been received"


"待处理页面的语言包","待处理页面的语言包"
"Processing...","Processing..."
"Notice Messages: ","Notice Messages: "
